item_id,product_name,department_name,price,stock_quantity
1,Trek Mountain Bike 550,Fitness,539.99,20
2,Zordic Track Rowing Machine,Fitness,325,15
3,Butterknife Table Tennis Paddle,Sporting Goods,47.99,2
4,Ashtiga Table Tennis Table,Sporting Goods,421.99,17
5,Polo Shirt,Apparel,35.99,3
6,Solar Watch,Apparel,250.99,27
7,Portible Solar Panels,Outdoors,445.99,34
8,Bamazon Rugged Hiking Backpack,Outdoors,85.99,120
9,Wireless Keyboard and Mouse,Electronics,32.99,81
10,Camera Tripond,Electronics,16.99,50
